text,platform,source_type,collection_date
chat this run is cooked fr after class,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support after class,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump after class,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan after class,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated after class,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps after class,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment after class,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully after class,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap after class,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play after class,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match after class,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean after class,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn after class,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss after class,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl after class,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer after class,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard after class,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe after class,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild after class,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake after class,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats after class,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated after class,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real after class,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat after class,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over after class,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed after class,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive after class,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run after class,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left after class,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult after class,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr during revision,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support during revision,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump during revision,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan during revision,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated during revision,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps during revision,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment during revision,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully during revision,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap during revision,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play during revision,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match during revision,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean during revision,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn during revision,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss during revision,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl during revision,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer during revision,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard during revision,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe during revision,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild during revision,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake during revision,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats during revision,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated during revision,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real during revision,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat during revision,twitch,synthetic_coursework_fallback,2026-05-19
