id,raw_text,clean_text,detected_slang_terms,formal_translation,sentiment,confidence_label,source,platform,unknown_terms,quality_flags,training_ready
1,3am brain just hits different 🫠 staring at the ceiling questioning everything? the existential dread goes HARD in the silence 💀✨ send happy thoughts (or memes),3am brain just hits different staring at the ceiling questioning everything? the existential dread goes hard in the silence send happy thoughts or memes,hits different,The existential dread that occasionally creeps in during late-night hours often feels amplified by the surrounding silence and darkness.,positive,high,new_raw_parallel,synthetic,,clean,True
2,"a good cuppa tea just fixes things fr ✨☕️ simple pleasures vibes, peak comfort & chill 🙏😌","a good cuppa tea just fixes things fr simple pleasures vibes, peak comfort chill",vibes|chill|peak|fr,I enjoy the simple pleasure of a good cup of tea.,positive,high,new_raw_parallel,synthetic,,clean,True
3,AC blowin lukewarm sadness 😩 car heatstroke incoming 🔥 send cool air vibes pls 🙏 suffering,ac blowin lukewarm sadness car heatstroke incoming send cool air vibes pls suffering,vibes,My car's air conditioning isn't working well.,neutral,high,new_raw_parallel,synthetic,,clean,True
6,"acknowledgin my progress rn ✨ celebrating the steps, journey > destination sometimes 🙏💯 proud","acknowledgin my progress rn celebrating the steps, journey destination sometimes proud",rn,I'm celebrating my progress.,neutral,high,new_raw_parallel,synthetic,,clean,True
7,"actions gotta align w values consistently fr 🙏 walk the talk queen/king, integrity check needed ✨💯 be true","actions gotta align w values consistently fr walk the talk queen king, integrity check needed be true",queen|king|fr|w,This requires consistent values alignment.,positive,high,new_raw_parallel,synthetic,,clean,True
8,"actively dodging drama rn 🙅‍♀️ distancing myself fr, need peace not problems 🙏 vibe shift","actively dodging drama rn distancing myself fr, need peace not problems vibe shift",vibe|fr|rn,I'm distancing myself from drama.,neutral,high,new_raw_parallel,synthetic,,clean,True
9,"actually focusing on cooking = mindful & delicious fr ✨🍳 sensory experience vibes, enjoy the process 🙏 zen kitchen","actually focusing on cooking mindful delicious fr sensory experience vibes, enjoy the process zen kitchen",vibes|fr,I enjoy mindful cooking.,neutral,high,new_raw_parallel,synthetic,,clean,True
11,actually savoring my coffee instead of inhaling it? mindful & tasty fr ✨☕️ appreciating the brew 🙏 zen start,actually savoring my coffee instead of inhaling it? mindful tasty fr appreciating the brew zen start,fr,I enjoy mindful moments drinking coffee.,neutral,high,new_raw_parallel,synthetic,,clean,True
12,actually TASTING & appreciating my food? mindful eating slaps lowkey ✨😋 slow down & savor vibes fr 🙏 sensory appreciation,actually tasting appreciating my food? mindful eating slaps lowkey slow down savor vibes fr sensory appreciation,lowkey|slaps|vibes|fr,I enjoy mindful eating.,positive,high,new_raw_parallel,synthetic,,clean,True
13,actually TASTING food & not inhaling it? mindful eating is key fr ✨😋 savor the flavor queen/king 🙏 presence practice,actually tasting food not inhaling it? mindful eating is key fr savor the flavor queen king presence practice,queen|king|fr,I enjoy mindful eating practices.,positive,high,new_raw_parallel,synthetic,,clean,True
15,actually tasting the tea notes? mindful & delicious fr ✨🍵 appreciate the flavor profile queen/king 🙏 sensory experience,actually tasting the tea notes? mindful delicious fr appreciate the flavor profile queen king sensory experience,queen|king|fr,I enjoy mindful tea tasting.,positive,high,new_raw_parallel,synthetic,,clean,True
16,adventure mode activated fr 🌍 ready to explore king 🙏 thrill chaser,adventure mode activated fr ready to explore king thrill chaser,king|fr,I'm feeling adventurous.,positive,high,new_raw_parallel,synthetic,,clean,True
17,adventure mode on fr 🌍 adventurous king chasin thrills 🙏 explorer vibes,adventure mode on fr adventurous king chasin thrills explorer vibes,vibes|king|fr,I'm feeling adventurous.,positive,high,new_raw_parallel,synthetic,,clean,True
19,"agree to disagree on that one homie 🙏 that's subjective fr, just ur opinion 💯","agree to disagree on that one homie that's subjective fr, just ur opinion",fr,That's a matter of opinion.,neutral,high,new_raw_parallel,synthetic,,clean,True
20,ahhh stretching feels GOOD fr 💪😌 muscles feel loose & happy now 🙏 mobility win!,ahh stretching feels good fr muscles feel loose happy now mobility win,fr,My muscles feel good after stretching.,neutral,high,new_raw_parallel,synthetic,,clean,True
21,"ahhh stretching worked ✨🦴 back feels looser fr, mobility restored (temporarily) 🙏 sweet relief","ahh stretching worked back feels looser fr, mobility restored temporarily sweet relief",fr,My back feels better after stretching.,neutral,high,new_raw_parallel,synthetic,,clean,True
23,ahh that felt refreshing af ✨ cool breeze / cold drink hit the spot fr 🙏 revitalize,ahh that felt refreshing af cool breeze cold drink hit the spot fr revitalize,fr,That feels refreshing.,neutral,high,new_raw_parallel,synthetic,,clean,True
24,ahh yeah that hits the spot fr ✨😌 feels good vibes activated 🙏 satisfaction,ahh yeah that hits the spot fr feels good vibes activated satisfaction,vibes|fr,That feels good.,neutral,high,new_raw_parallel,synthetic,,clean,True
25,AI ethics lowkey important af 🤔🤖 learning bout future problems now? big brain energy 🙏 think ahead,ai ethics lowkey important af learning bout future problems now? big brain energy think ahead,lowkey,I enjoy learning about artificial intelligence ethics.,neutral,high,new_raw_parallel,synthetic,,clean,True
26,AI stuff kinda mind-blowing ngl 🤔🧠 learning bout machine learning? futuristic vibes 🙏 skynet loading?,ai stuff kinda mind-blowing ngl learning bout machine learning? futuristic vibes skynet loading,vibes|ngl,I enjoy learning about artificial intelligence.,neutral,high,new_raw_parallel,synthetic,,clean,True
28,"aight bet, lets make it shake then 🔥💯 time to put in work and get it done fr 💪","aight bet, lets make it shake then time to put in work and get it done fr",bet|fr,Let's make this happen.,positive,high,new_raw_parallel,synthetic,,clean,True
29,"aight bet, prioritize the main quest fr 🙏 focus on the big moves first, handle business 💯🎯","aight bet, prioritize the main quest fr focus on the big moves first, handle business",bet|fr,Let's focus on the most important tasks first.,positive,high,new_raw_parallel,synthetic,,clean,True
31,"aight bet, we linkin tonight? whats the move? 🤔 squad gotta be on the same page fr 🤝","aight bet, we linkin tonight? whats the move? squad gotta be on the same page fr",bet|fr,We need to coordinate our plans for tonight.,positive,high,new_raw_parallel,synthetic,,clean,True
32,"aight cant chat now, lets talk later fr 🙏 circle back king/queen ✨📲 hit u up","aight cant chat now, lets talk later fr circle back king queen hit u up",queen|king|fr,Let's talk later.,positive,high,new_raw_parallel,synthetic,,clean,True
33,"aight cant just wing it, lets make a plan fr 🤔 strategy time king/queen 🙏 map it out","aight cant just wing it, lets make a plan fr strategy time king queen map it out",queen|king|fr,Let's make a plan.,positive,high,new_raw_parallel,synthetic,,clean,True
34,"aight cut the bs, whats the deal? 🤔 get straight to the point, no time for fluff fr 💯","aight cut the bs, whats the deal? get straight to the point, no time for fluff fr",fr,Let's get straight to the point.,neutral,high,new_raw_parallel,synthetic,,clean,True
35,"aight cut the confusion, clear comms only fr 🙏 speak plain king/queen ✨🗣️ make it understandable","aight cut the confusion, clear comms only fr speak plain king queen make it understandable",queen|king|fr,Let's communicate clearly.,positive,high,new_raw_parallel,synthetic,,clean,True
36,"aight execute the plan perfectly ✨ precision is key, surgical w it fr 💯🎯 no errors","aight execute the plan perfectly precision is key, surgical w it fr no errors",fr|w,Let's execute this plan with precision.,positive,high,new_raw_parallel,synthetic,,clean,True
37,"aight gotta be strategic bout this 🤔 plan the moves carefully, chess not checkers fr 💯🧠","aight gotta be strategic bout this plan the moves carefully, chess not checkers fr",fr,Let's approach this strategically.,neutral,high,new_raw_parallel,synthetic,,clean,True
38,aight gotta link & talk soon frfr 🙏 catch up proper king/queen ✨📲 holla,aight gotta link talk soon frfr catch up proper king queen holla,queen|king,Let's talk soon.,positive,high,new_raw_parallel,synthetic,,clean,True
39,"aight gotta lock in the details frfr 🙏 finalize the plan, no loose ends king/queen ✨💯","aight gotta lock in the details frfr finalize the plan, no loose ends king queen",queen|king,We need to finalize the details soon.,positive,high,new_raw_parallel,synthetic,,clean,True
40,"aight gotta look close at the data fr 🧐 analyze it carefully, find the patterns 🙏💯 numbers game","aight gotta look close at the data fr analyze it carefully, find the patterns numbers game",fr,Let's analyze the data carefully.,neutral,high,new_raw_parallel,synthetic,,clean,True
41,"aight gotta pull back strategically fr 🙏 tactical retreat time, regroup & reassess ✨💯 fall back","aight gotta pull back strategically fr tactical retreat time, regroup reassess fall back",fr,This requires strategic withdrawal.,neutral,high,new_raw_parallel,synthetic,,clean,True
42,"aight gotta show love & gratitude fr 🙏 count blessings, appreciate the good shi ✨💯 thankful energy","aight gotta show love gratitude fr count blessings, appreciate the good shi thankful energy",fr,Let's show some gratitude.,neutral,high,new_raw_parallel,synthetic,,clean,True
43,"aight gotta tweak the plan fr 🙏 refine the strategy, make it sharper 💯🎯 optimize","aight gotta tweak the plan fr refine the strategy, make it sharper optimize",fr,Let's refine our strategy.,neutral,high,new_raw_parallel,synthetic,,clean,True
44,"aight he fumbled the bag, made a mistake fr 😬 L taken.","aight he fumbled the bag, made a mistake fr l taken",fr|l,He made a mistake.,negative,high,new_raw_parallel,synthetic,,clean,True
45,"aight i messed up, gotta own it & apologize fr 🙏 my bad, takin the L & learnin 💯","aight i messed up, gotta own it apologize fr my bad, takin the l learnin",fr|l,I need to apologize for my mistake.,negative,high,new_raw_parallel,synthetic,,clean,True
47,"aight keep it 100, honest comms only fr 🙏 no lies king/queen, real talk needed ✨💯 transparency","aight keep it 100, honest comms only fr no lies king queen, real talk needed transparency",queen|real|king|fr,Let's communicate honestly.,positive,high,new_raw_parallel,synthetic,,clean,True
48,"aight keep it respectful yall 🙏 basic manners check, be cool fr ✨ no need for beef","aight keep it respectful yall basic manners check, be cool fr no need for beef",fr,Let's be respectful.,neutral,high,new_raw_parallel,synthetic,,clean,True
50,"aight lesson learned fr 🙏 gotta take this L and grow from it, learn from the experience ✨💯","aight lesson learned fr gotta take this l and grow from it, learn from the experience",fr|l,Let's learn from this experience.,negative,high,new_raw_parallel,synthetic,,clean,True
51,aight lets chop it up proper & talk this thru fr 🙏 clear the air king/queen ✨🗣️ resolve shi,aight lets chop it up proper talk this thru fr clear the air king queen resolve shi,queen|king|fr,Let's talk things through.,positive,high,new_raw_parallel,synthetic,,clean,True
52,aight lets chop it up tomorrow fr 🙏 sync up then king/queen ✨📞 TTYL,aight lets chop it up tomorrow fr sync up then king queen ttyl,queen|king|fr,Let's talk tomorrow.,positive,high,new_raw_parallel,synthetic,,clean,True
53,"aight lets clean this disaster zone fr ✨🧹 tidy up time, chaos contained 🙏","aight lets clean this disaster zone fr tidy up time, chaos contained",clean|fr,Let's clean up this mess.,positive,high,new_raw_parallel,synthetic,,clean,True
55,"aight lets do some good shi fr 🙏 aim to make a positive impact, leave things better ✨💯 contribute","aight lets do some good shi fr aim to make a positive impact, leave things better contribute",fr,Let's make a positive impact.,neutral,high,new_raw_parallel,synthetic,,clean,True
56,"aight lets do this perfectly fr 🔥 execute w excellence, high standards only 💯✨ aim for greatness","aight lets do this perfectly fr execute w excellence, high standards only aim for greatness",fr|w,Let's execute with excellence.,positive,high,new_raw_parallel,synthetic,,clean,True
57,aight lets ensure we actually communicatin effectively fr 🙏 clear message king/queen ✨🗣️ get point across,aight lets ensure we actually communicatin effectively fr clear message king queen get point across,queen|king|fr,Let's communicate effectively.,positive,high,new_raw_parallel,synthetic,,clean,True
