term,definition,example,thumbs_up,thumbs_down,source,collection_date
fr,for real,bro is cooked fr,0,0,curated_local_fallback,2026-05-04
ngl,not going to lie,that fit ate ngl,0,0,curated_local_fallback,2026-05-04
idk,I do not know,idk that update feels mid,0,0,curated_local_fallback,2026-05-04
imo,in my opinion,imo the trailer slaps,0,0,curated_local_fallback,2026-05-04
rn,right now,locked in rn,0,0,curated_local_fallback,2026-05-04
mid,average or unimpressive,the finale was mid,0,0,curated_local_fallback,2026-05-04
cooked,"in serious trouble, defeated, or exhausted",bro is cooked fr,0,0,curated_local_fallback,2026-05-04
ate,performed very well or looked impressive,that fit ate ngl,0,0,curated_local_fallback,2026-05-04
slay,perform impressively or look excellent,she will slay that presentation,0,0,curated_local_fallback,2026-05-04
rizz,charisma or romantic charm,he has calm rizz,0,0,curated_local_fallback,2026-05-04
cap,a lie or exaggeration,that excuse is cap,0,0,curated_local_fallback,2026-05-04
no cap,truthfully or without exaggeration,this song is fire no cap,0,0,curated_local_fallback,2026-05-04
ratioed,publicly disagreed with or outperformed in responses,the post got ratioed,0,0,curated_local_fallback,2026-05-04
w,a win or successful outcome,that grade is a w,0,0,curated_local_fallback,2026-05-04
l,a loss or poor outcome,missing the bus was an l,0,0,curated_local_fallback,2026-05-04
tweaking,"acting unusually, panicking, or overreacting",chat is tweaking over the patch,0,0,curated_local_fallback,2026-05-04
slaps,is very good or enjoyable,this beat slaps,0,0,curated_local_fallback,2026-05-04
goated,considered among the greatest,that player is goated,0,0,curated_local_fallback,2026-05-04
sus,suspicious or questionable,that link looks sus,0,0,curated_local_fallback,2026-05-04
vibe,"general mood, feeling, or atmosphere",the cafe has a calm vibe,0,0,curated_local_fallback,2026-05-04
delulu,unrealistically optimistic or delusional,that prediction is delulu,0,0,curated_local_fallback,2026-05-04
sigma,"independent, self-directed, or confidently unconventional",he called the quiet plan sigma,0,0,curated_local_fallback,2026-05-04
npc,someone perceived as unoriginal or passive,that reply felt npc,0,0,curated_local_fallback,2026-05-04
main character,the central or most noticeable person in a situation,she had main character energy,0,0,curated_local_fallback,2026-05-04
lowkey,"somewhat, quietly, or secretly",lowkey this is difficult,0,0,curated_local_fallback,2026-05-04
highkey,"clearly, strongly, or openly",highkey proud of the team,0,0,curated_local_fallback,2026-05-04
bet,"agreed, confirmed, or okay",bet I will send it tonight,0,0,curated_local_fallback,2026-05-04
based,"admirably confident, reasonable, or principled",that take is based,0,0,curated_local_fallback,2026-05-04
cringe,embarrassing or uncomfortable to witness,the forced joke was cringe,0,0,curated_local_fallback,2026-05-04
hits different,feels unusually meaningful or satisfying,coffee after class hits different,0,0,curated_local_fallback,2026-05-04
locked in,focused and ready to perform,locked in for finals,0,0,curated_local_fallback,2026-05-04
brainrot,"content or language that is absurd, repetitive, and internet-influenced",my feed is pure brainrot,0,0,curated_local_fallback,2026-05-04
skibidi,absurd meme-style expression with little literal meaning,the comments became skibidi chaos,0,0,curated_local_fallback,2026-05-04
gyatt,an exaggerated reaction of surprise or admiration,gyatt that edit is clean,0,0,curated_local_fallback,2026-05-04
fanum tax,playfully taking part of someone's food or resources,he called the last slice fanum tax,0,0,curated_local_fallback,2026-05-04
aura,"personal presence, confidence, or social energy",that entrance had aura,0,0,curated_local_fallback,2026-05-04
aura farming,performing actions to appear impressive or confident,he was aura farming in the lobby,0,0,curated_local_fallback,2026-05-04
yap,"talk at length, often unnecessarily",he can yap for an hour,0,0,curated_local_fallback,2026-05-04
yapping,"talking at length, often unnecessarily",chat was yapping all night,0,0,curated_local_fallback,2026-05-04
touch grass,take a break from the internet and return to real life,"after that thread, touch grass",0,0,curated_local_fallback,2026-05-04
let him cook,allow someone to continue because they may produce a good result,wait let him cook,0,0,curated_local_fallback,2026-05-04
fell off,"declined in quality, popularity, or performance",the series fell off,0,0,curated_local_fallback,2026-05-04
valid,"reasonable, acceptable, or understandable",that concern is valid,0,0,curated_local_fallback,2026-05-04
bussin,"very good, especially food",this lunch is bussin,0,0,curated_local_fallback,2026-05-04
drip,stylish clothing or fashion sense,the jacket has drip,0,0,curated_local_fallback,2026-05-04
fit,outfit or clothing combination,that fit ate ngl,0,0,curated_local_fallback,2026-05-04
opp,opponent or rival,the rival team is the opp,0,0,curated_local_fallback,2026-05-04
glazing,excessively praising someone,stop glazing the streamer,0,0,curated_local_fallback,2026-05-04
pookie,affectionate nickname for a friend or loved one,thanks pookie,0,0,curated_local_fallback,2026-05-04
real,relatable or truthful,that comment is real,0,0,curated_local_fallback,2026-05-04
canon event,an unavoidable formative experience,failing once was a canon event,0,0,curated_local_fallback,2026-05-04
side quest,an unexpected secondary task or adventure,buying snacks became a side quest,0,0,curated_local_fallback,2026-05-04
core memory,a strongly memorable experience,that trip was a core memory,0,0,curated_local_fallback,2026-05-04
