id,raw_text,clean_text,detected_slang_terms,formal_translation,sentiment,confidence_label,source,platform,unknown_terms,quality_flags,training_ready
1,that exam was harder than expected fr,that exam was harder than expected fr,fr,That exam was truly harder than expected.,neutral,high,manual_annotation,manual,expected,clean,True
4,imo the second design is easier to read,imo the second design is easier to read,imo,"In my opinion, the second design is easier to read.",neutral,high,manual_annotation,manual,,clean,True
5,the server is not responding rn,the server is not responding rn,rn,The server is not responding right now.,neutral,high,manual_annotation,manual,responding,clean,True
6,the movie was mid after all that hype,the movie was mid after all that hype,mid,The movie was disappointing after all that hype.,negative,high,manual_annotation,manual,,clean,True
7,our team is cooked if the database crashes,our team is cooked if the database crashes,cooked,Our team is in serious trouble if the database crashes.,negative,high,manual_annotation,manual,,clean,True
8,that singer ate during the final chorus,that singer ate during the final chorus,ate,That singer performed extremely well during the final chorus.,positive,high,manual_annotation,manual,,clean,True
9,she will slay the presentation tomorrow,she will slay the presentation tomorrow,slay,She will do an excellent job on the presentation tomorrow.,positive,high,manual_annotation,manual,,clean,True
10,he has calm rizz when he talks,he has calm rizz when he talks,rizz,He has natural charisma when he talks.,positive,high,manual_annotation,manual,,clean,True
11,that excuse is cap and nobody believes it,that excuse is cap and nobody believes it,cap,That excuse is a lie and nobody believes it.,negative,high,manual_annotation,manual,,clean,True
12,this soup is amazing no cap,this soup is amazing no cap,no cap,This soup is genuinely amazing.,positive,high,manual_annotation,manual,amazing,clean,True
13,his post got ratioed after the reply,his post got ratioed after the reply,ratioed,His post received more disagreement after the reply.,negative,high,manual_annotation,manual,,clean,True
14,finishing the project early was a w,finishing the project early was a w,w,Finishing the project early was a success.,positive,high,manual_annotation,manual,finishing,clean,True
16,chat is tweaking over the balance patch,chat is tweaking over the balance patch,tweaking,The chat is overreacting to the balance patch.,negative,high,manual_annotation,manual,,clean,True
17,this new song slaps in the car,this new song slaps in the car,slaps,This new song sounds very good in the car.,positive,high,manual_annotation,manual,,clean,True
18,that goalkeeper is goated under pressure,that goalkeeper is goated under pressure,goated,That goalkeeper is exceptionally good under pressure.,positive,high,manual_annotation,manual,,clean,True
19,that link looks sus to me,that link looks sus to me,sus,That link looks suspicious to me.,negative,high,manual_annotation,manual,,clean,True
20,the cafe has a calm vibe today,the cafe has a calm vibe today,vibe,The cafe has a calm atmosphere today.,neutral,high,manual_annotation,manual,,clean,True
23,that reply felt npc and generic,that reply felt npc and generic,npc,That reply felt generic and unoriginal.,negative,high,manual_annotation,manual,,clean,True
25,lowkey this assignment is difficult,lowkey this assignment is difficult,lowkey,This assignment is somewhat difficult.,neutral,high,manual_annotation,manual,,clean,True
26,highkey proud of the whole team,highkey proud of the whole team,highkey,I am openly proud of the whole team.,neutral,high,manual_annotation,manual,,clean,True
27,bet i will send the notes tonight,bet i will send the notes tonight,bet,"Okay, I will send the notes tonight.",positive,high,manual_annotation,manual,,clean,True
28,that take is based and reasonable,that take is based and reasonable,based,That opinion is confident and reasonable.,positive,high,manual_annotation,manual,,clean,True
29,the forced joke was cringe,the forced joke was cringe,cringe,The forced joke was embarrassing.,negative,high,manual_annotation,manual,forced,clean,True
31,we are locked in for finals week,we are locked in for finals week,locked in,We are focused and ready for finals week.,positive,high,manual_annotation,manual,,clean,True
32,my feed is pure brainrot after midnight,my feed is pure brainrot after midnight,brainrot,My feed is full of absurd internet content after midnight.,neutral,high,manual_annotation,manual,feed,clean,True
33,the comments became skibidi chaos quickly,the comments became skibidi chaos quickly,skibidi,The comments quickly became absurd meme chaos.,neutral,high,manual_annotation,manual,,clean,True
34,gyatt that edit is really sharp,gyatt that edit is really sharp,gyatt,"Wow, that edit is really sharp.",positive,high,manual_annotation,manual,,clean,True
35,he called the last slice fanum tax,he called the last slice fanum tax,fanum tax,He jokingly took the last slice of food.,neutral,high,manual_annotation,manual,,clean,True
36,that entrance had serious aura,that entrance had serious aura,aura,That entrance showed strong confidence and presence.,positive,high,manual_annotation,manual,,clean,True
37,he was aura farming in the lobby,he was aura farming in the lobby,aura farming,He was trying to look impressive in the lobby.,neutral,high,manual_annotation,manual,,clean,True
39,chat was yapping during the cutscene,chat was yapping during the cutscene,yapping,The chat was talking too much during the cutscene.,negative,high,manual_annotation,manual,,clean,True
40,after that thread you need to touch grass,after that thread you need to touch grass,touch grass,"After that thread, you need to take a break from the internet.",negative,high,manual_annotation,manual,,clean,True
41,wait let him cook before judging,wait let him cook before judging,let him cook,Wait and let him continue before judging.,positive,high,manual_annotation,manual,judging,clean,True
42,the series fell off after season two,the series fell off after season two,fell off,The series declined in quality after season two.,negative,high,manual_annotation,manual,,clean,True
43,that concern is valid for this project,that concern is valid for this project,valid,That concern is reasonable for this project.,positive,high,manual_annotation,manual,,clean,True
44,this lunch is bussin after practice,this lunch is bussin after practice,bussin,This lunch tastes very good after practice.,positive,high,manual_annotation,manual,,clean,True
45,the jacket has drip with those shoes,the jacket has drip with those shoes,drip,The jacket looks stylish with those shoes.,positive,high,manual_annotation,manual,,clean,True
46,that fit works well for the event,that fit works well for the event,fit,That outfit works well for the event.,neutral,high,manual_annotation,manual,,clean,True
47,the rival team is the opp today,the rival team is the opp today,opp,The rival team is the opponent today.,negative,high,manual_annotation,manual,,clean,True
