raw_text,formal_translation,term,definition,example,platform,source_type,collection_date
that exam was harder than expected fr,That exam was truly harder than expected.,fr,,that exam was harder than expected fr,manual,human_annotation,2026-05-30
the new dashboard looks clean ngl,"The new dashboard looks polished, honestly.",ngl,,the new dashboard looks clean ngl,manual,human_annotation,2026-05-30
idk why the upload failed again,I do not know why the upload failed again.,idk,,idk why the upload failed again,manual,human_annotation,2026-05-30
imo the second design is easier to read,"In my opinion, the second design is easier to read.",imo,,imo the second design is easier to read,manual,human_annotation,2026-05-30
the server is not responding rn,The server is not responding right now.,rn,,the server is not responding rn,manual,human_annotation,2026-05-30
the movie was mid after all that hype,The movie was disappointing after all that hype.,mid,,the movie was mid after all that hype,manual,human_annotation,2026-05-30
our team is cooked if the database crashes,Our team is in serious trouble if the database crashes.,cooked,,our team is cooked if the database crashes,manual,human_annotation,2026-05-30
that singer ate during the final chorus,That singer performed extremely well during the final chorus.,ate,,that singer ate during the final chorus,manual,human_annotation,2026-05-30
she will slay the presentation tomorrow,She will do an excellent job on the presentation tomorrow.,slay,,she will slay the presentation tomorrow,manual,human_annotation,2026-05-30
he has calm rizz when he talks,He has natural charisma when he talks.,rizz,,he has calm rizz when he talks,manual,human_annotation,2026-05-30
that excuse is cap and nobody believes it,That excuse is a lie and nobody believes it.,cap,,that excuse is cap and nobody believes it,manual,human_annotation,2026-05-30
this soup is amazing no cap,This soup is genuinely amazing.,no cap,,this soup is amazing no cap,manual,human_annotation,2026-05-30
his post got ratioed after the reply,His post received more disagreement after the reply.,ratioed,,his post got ratioed after the reply,manual,human_annotation,2026-05-30
finishing the project early was a w,Finishing the project early was a success.,w,,finishing the project early was a w,manual,human_annotation,2026-05-30
missing the train was an l,Missing the train was a bad outcome.,l,,missing the train was an l,manual,human_annotation,2026-05-30
chat is tweaking over the balance patch,The chat is overreacting to the balance patch.,tweaking,,chat is tweaking over the balance patch,manual,human_annotation,2026-05-30
this new song slaps in the car,This new song sounds very good in the car.,slaps,,this new song slaps in the car,manual,human_annotation,2026-05-30
that goalkeeper is goated under pressure,That goalkeeper is exceptionally good under pressure.,goated,,that goalkeeper is goated under pressure,manual,human_annotation,2026-05-30
that link looks sus to me,That link looks suspicious to me.,sus,,that link looks sus to me,manual,human_annotation,2026-05-30
the cafe has a calm vibe today,The cafe has a calm atmosphere today.,vibe,,the cafe has a calm vibe today,manual,human_annotation,2026-05-30
