source_file,line_number,raw_text,clean_text,formal_translation,detected_slang_terms,quality_flags,review_reason
test.jsonl,417,kicks lookin dusty fr 👟 gotta clean em king 🙏 fresh drip mission,kicks lookin dusty fr gotta clean em king fresh drip mission,I need to clean my shoes.,clean|drip|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,433,tryna see the bright side fr 😎 optimistic king chasin hope 🙏 good vibes grind,tryna see the bright side fr optimistic king chasin hope good vibes grind,I'm trying to be more optimistic.,vibes|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,434,she glowin with charm fr ✨ charismatic queen owns it 🙏 vibe queen,she glowin with charm fr charismatic queen owns it vibe queen,She's very charismatic.,queen|vibe|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,436,bro holdin u up fr 🤝 supportive king got ur back 🙏 ride or die vibes,bro holdin u up fr supportive king got ur back ride or die vibes,He's really supportive.,vibes|king|bro|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,440,she carin always fr 💭 thoughtful queen got love 🙏 kindness legend,she carin always fr thoughtful queen got love kindness legend,She's very thoughtful.,queen|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,445,tryna stay chill fr 😌 patient king waitin calm 🙏 zen grind,tryna stay chill fr patient king waitin calm zen grind,I'm trying to be more patient.,chill|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,446,she sparkin dreams fr 🔥 inspiring queen lifts souls 🙏 motivation champ,she sparkin dreams fr inspiring queen lifts souls motivation champ,She's very inspiring.,queen|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,447,lamp actin shady fr 💡 gotta fix it king 🙏 bright vibes mission,lamp actin shady fr gotta fix it king bright vibes mission,I need to fix my lamp.,vibes|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,448,bro givin big fr 🎁 generous king got heart 🙏 selfless vibes,bro givin big fr generous king got heart selfless vibes,He's really generous.,vibes|king|bro|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,451,hope hittin strong fr 🌟 hopeful king seein light 🙏 optimism overload,hope hittin strong fr hopeful king seein light optimism overload,I'm feeling hopeful.,king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,452,she feelin all the feels fr 😔 empathetic queen got heart 🙏 emotional champ,she feelin all the feels fr empathetic queen got heart emotional champ,She's very empathetic.,queen|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,453,desk lookin like a warzone fr 🖥️ gotta sort it king 🙏 tidy vibes mission,desk lookin like a warzone fr gotta sort it king tidy vibes mission,I need to clean my desk.,vibes|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,454,bro leadin like a king fr 👑 leader king inspires all 🙏 squad motivator,bro leadin like a king fr leader king inspires all squad motivator,He's a great leader.,king|bro|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,456,this juice hittin sugary fr 🥤 sweet af king 🙏 liquid candy,this juice hittin sugary fr sweet af king liquid candy,This juice is so sweet.,king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,457,energy on max fr ⚡ energized king ready to roll 🙏 power vibes,energy on max fr energized king ready to roll power vibes,I'm feeling energized.,vibes|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,458,she sparkin magic fr 🎨 creative queen got vision 🙏 imagination champ,she sparkin magic fr creative queen got vision imagination champ,She's very creative.,queen|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,463,tryna own my vibe fr 😎 confident king risin up 🙏 self-assured grind,tryna own my vibe fr confident king risin up self-assured grind,I'm trying to be more confident.,vibe|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,464,she holdin it down fr 🤝 supportive queen got ur back 🙏 ride or die vibes,she holdin it down fr supportive queen got ur back ride or die vibes,She's very supportive.,vibes|queen|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,465,headphones lookin grimy fr 🎧 gotta clean em king 🙏 fresh audio vibes,headphones lookin grimy fr gotta clean em king fresh audio vibes,I need to clean my headphones.,vibes|clean|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,466,bro paintin bangers fr 🎨 artist king got style 🙏 aesthetic legend,bro paintin bangers fr artist king got style aesthetic legend,He's a great artist.,king|bro|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,469,vibes all chill fr 😌 relaxed king in zen mode 🙏 stress-free vibes,vibes all chill fr relaxed king in zen mode stress-free vibes,I'm feeling relaxed.,vibes|chill|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,470,she glowin with charm fr ✨ charismatic queen owns it 🙏 vibe queen,she glowin with charm fr charismatic queen owns it vibe queen,She's very charismatic.,queen|vibe|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,471,chair creakin loud fr 🪑 gotta fix it king 🙏 sturdy vibes mission,chair creakin loud fr gotta fix it king sturdy vibes mission,I need to fix my chair.,vibes|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,472,bro sparkin genius fr 🎨 creative king got vision 🙏 imagination god,bro sparkin genius fr creative king got vision imagination god,He's really creative.,king|bro|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,473,pottery class vibes? 🏺 lets mold some art fr king/queen 🙏 creative escape,pottery class vibes? lets mold some art fr king queen creative escape,Let's go to a pottery class.,vibes|queen|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,475,motivation on max fr 💥 motivated king ready to crush 🙏 grind mode on,motivation on max fr motivated king ready to crush grind mode on,I'm feeling motivated.,king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,477,mousepad lookin grimy fr 🖱️ gotta clean it king 🙏 fresh tech vibes,mousepad lookin grimy fr gotta clean it king fresh tech vibes,I need to clean my mousepad.,vibes|clean|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,478,bro droppin melodies fr 🎶 musician king got soul 🙏 music legend,bro droppin melodies fr musician king got soul music legend,He's a great musician.,king|bro|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,479,film fest vibes? 🎬 lets binge cinema fr king/queen 🙏 movie adventure,film fest vibes? lets binge cinema fr king queen movie adventure,Let's go to a film festival.,vibes|queen|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,481,tryna stay chill fr 😌 patient king waitin calm 🙏 zen grind,tryna stay chill fr patient king waitin calm zen grind,I'm trying to be more patient.,chill|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,482,she sparkin dreams fr 🔥 inspiring queen lifts souls 🙏 motivation champ,she sparkin dreams fr inspiring queen lifts souls motivation champ,She's very inspiring.,queen|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,483,lamp actin shady fr 💡 gotta fix it king 🙏 bright vibes mission,lamp actin shady fr gotta fix it king bright vibes mission,I need to fix my lamp.,vibes|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,484,bro givin big fr 🎁 generous king got heart 🙏 selfless vibes,bro givin big fr generous king got heart selfless vibes,He's really generous.,vibes|king|bro|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,487,hope hittin strong fr 🌟 hopeful king seein light 🙏 optimism overload,hope hittin strong fr hopeful king seein light optimism overload,I'm feeling hopeful.,king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,488,she feelin all the feels fr 😔 empathetic queen got heart 🙏 emotional champ,she feelin all the feels fr empathetic queen got heart emotional champ,She's very empathetic.,queen|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,489,desk lookin like a warzone fr 🖥️ gotta sort it king 🙏 tidy vibes mission,desk lookin like a warzone fr gotta sort it king tidy vibes mission,I need to clean my desk.,vibes|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,490,bro leadin like a king fr 👑 leader king inspires all 🙏 squad motivator,bro leadin like a king fr leader king inspires all squad motivator,He's a great leader.,king|bro|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,491,dance class vibes? 💃 lets move our bodies fr king/queen 🙏 rhythm quest,dance class vibes? lets move our bodies fr king queen rhythm quest,Let's go to a dance class.,vibes|queen|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,493,energy on max fr ⚡ energized king ready to roll 🙏 power vibes,energy on max fr energized king ready to roll power vibes,I'm feeling energized.,vibes|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,494,she sparkin magic fr 🎨 creative queen got vision 🙏 imagination champ,she sparkin magic fr creative queen got vision imagination champ,She's very creative.,queen|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,495,files lookin chaotic fr 📂 gotta sort em king 🙏 digital glow up,files lookin chaotic fr gotta sort em king digital glow up,I need to organize my files.,king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,496,bro solid every time fr 💯 reliable king never flakes 🙏 trust legend,bro solid every time fr reliable king never flakes trust legend,He's really reliable.,king|bro|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,499,tryna own my vibe fr 😎 confident king risin up 🙏 self-assured grind,tryna own my vibe fr confident king risin up self-assured grind,I'm trying to be more confident.,vibe|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,500,she holdin it down fr 🤝 supportive queen got ur back 🙏 ride or die vibes,she holdin it down fr supportive queen got ur back ride or die vibes,She's very supportive.,vibes|queen|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,501,earbuds lookin grimy fr 🎶 gotta clean em king 🙏 fresh audio vibes,earbuds lookin grimy fr gotta clean em king fresh audio vibes,I need to clean my earbuds.,vibes|clean|king|fr,duplicate_clean_text,duplicate_clean_text
test.jsonl,502,bro paintin bangers fr 🎨 artist king got style 🙏 aesthetic legend,bro paintin bangers fr artist king got style aesthetic legend,He's a great artist.,king|bro|fr,duplicate_clean_text,duplicate_clean_text
train.jsonl,2,"academia is a scam, i’m gonna sell stickers","academia is a scam, i m gonna sell stickers",I don't want to study anymore.,,missing_slang,missing_slang
train.jsonl,4,me when life life’d too hard today,me when life life d too hard today,I am feeling sad.,,missing_slang,missing_slang
train.jsonl,6,did i install the paid version of suffering or what,did i install the paid version of suffering or what,Why is this happening to me?,,missing_slang,missing_slang
train.jsonl,8,gng grind never stops even when i do,gng grind never stops even when i do,I am trying my best.,,missing_slang,missing_slang
train.jsonl,9,alt f4 on reality tbh,alt f4 on reality tbh,I give up.,,missing_slang,missing_slang
train.jsonl,10,insomnia unlocked new DLC: existential thoughts at 3am,insomnia unlocked new dlc existential thoughts at 3am,Please let me sleep.,,missing_slang,missing_slang
train.jsonl,12,brain.exe stopped responding 🧠💥,brain.exe stopped responding,I don't understand anything.,,short_text|missing_slang,short_text
train.jsonl,13,"plan A failed, plan B ghosted me, plan C got commitment issues","plan a failed, plan b ghosted me, plan c got commitment issues",This is not working.,,missing_slang,missing_slang
train.jsonl,14,wait lemme consult the stars and my burnt-out soul,wait lemme consult the stars and my burnt-out soul,What should I do now?,,missing_slang,missing_slang
train.jsonl,15,"emotional support unavailable, send memes","emotional support unavailable, send memes",I need help.,,missing_slang,missing_slang
train.jsonl,16,task manager says ‘good luck’ n dipped,task manager says good luck n dipped,I have too much work.,,missing_slang,missing_slang
train.jsonl,18,"neurons called in sick, again","neurons called in sick, again",My brain is not working today.,,missing_slang,missing_slang
train.jsonl,20,mood: uninstall society,mood uninstall society,I hate everything.,mood,short_text,short_text
train.jsonl,22,me at social functions: *undefined behavior*,me at social functions undefined behavior,I am nervous.,,missing_slang,missing_slang
train.jsonl,23,me? fine? LMAO okay,me? fine? lmao okay,I am fine.,,missing_slang,missing_slang
train.jsonl,24,sky crying so i don’t have to,sky crying so i don t have to,It is raining outside.,,missing_slang,missing_slang
train.jsonl,25,life said ‘git gud’ and dipped,life said git gud and dipped,Life is hard.,,missing_slang,missing_slang
train.jsonl,27,"alive but not really, you feel me?","alive but not really, you feel me",I am feeling okay.,,missing_slang,missing_slang
train.jsonl,28,me trying to decode this like it’s quantum physics,me trying to decode this like it s quantum physics,This makes no sense.,,missing_slang,missing_slang
train.jsonl,29,nostalgia hitting harder than my GPA,nostalgia hitting harder than my gpa,I miss the old days.,,missing_slang,missing_slang
train.jsonl,30,current status: ???,current status,What is going on?,,short_text|missing_slang,short_text
train.jsonl,31,mentally? i’m on airplane mode,mentally? i m on airplane mode,I am not okay.,,missing_slang,missing_slang
train.jsonl,33,deleting my personality brb,deleting my personality brb,I need a break from everything.,,missing_slang,missing_slang
train.jsonl,34,"brain said ‘nah, not today chief’","brain said nah, not today chief",I don't understand this.,,missing_slang,missing_slang
train.jsonl,35,i'm this close to organizing my trauma alphabetically,i'm this close to organizing my trauma alphabetically,I'm so bored.,,missing_slang,missing_slang
train.jsonl,36,boutta sob like it’s a personality trait,boutta sob like it s a personality trait,I want to cry.,,missing_slang,missing_slang
train.jsonl,37,me spiraling but aesthetically,me spiraling but aesthetically,This is going nowhere.,,missing_slang,missing_slang
train.jsonl,38,burn it. salt the earth. never speak of it again,burn it. salt the earth. never speak of it again,I hate this so much.,,missing_slang,missing_slang
train.jsonl,42,putting in my 2-week notice from existing,putting in my 2-week notice from existing,I think I am done.,,missing_slang,missing_slang
